,Returns
0,0.008628779996860514
1,-0.0028700134379759934
2,-0.004594275513284285
3,0.05405105444993996
4,0.012134017487352766
5,-0.004847578342366599
6,-0.011994517641396585
7,-0.03472407826012114
8,0.04250881708769816
9,0.06506158659888994
10,0.045061090630958534
11,0.0023665278440403448
12,0.07148927885973944
13,0.052793917786918776
14,-0.014148136083619978
15,0.05022928675463656
16,0.014109521521153523
17,-0.05868283142882347
18,0.07119260505765657
19,-0.08543860347658849
20,0.0547293273494327
21,0.02147719315076868
22,-0.028288271475909732
23,0.13176689368870087
24,0.036923621317010324
25,0.02638986515783981
26,-0.011450211572491154
27,0.006034196283620119
28,0.04791449018971927
29,0.048223696256938675
30,0.03495884015199979
31,-0.024166165905701198
32,-0.21763041421998008
33,-0.0853488653536516
34,0.07286147875354443
35,0.04043227059709542
36,0.04181740262854561
37,-0.03334326201018556
38,0.009424743272317793
39,0.003176126477985486
40,0.043256012280601164
41,-0.005411374721492224
42,-0.03860010449258666
43,0.03972933268934309
44,0.0259644642106176
45,-0.018890880706211144
46,0.014687573381001906
47,0.07111479156412925
48,-0.02894414843113058
49,0.020805961609083434
50,0.05008993717851862
51,0.035137494672926595
52,-0.007924554206930945
53,0.08837025792525588
54,0.01551671822445666
55,-0.006544368276168888
56,-0.02517545094824758
57,0.016541324259951473
58,0.021416815142801804
59,-0.06881722621461728
60,0.008539042758088922
61,0.024254986404143253
62,-0.02688714062127162
63,0.09198919079889456
64,-0.008886365681221697
65,-0.005223158411739148
66,-0.09431418479162912
67,-0.051184306456431905
68,-0.006698212301042394
69,0.05993421454178649
70,0.024827757338752088
71,0.0415177499981747
72,0.06728117681278034
73,0.022202832522042026
74,0.0003197993624997064
75,0.0386049724936075
76,-0.04789262897479862
77,0.04485934295776639
78,0.019648784624321625
79,-0.019143735843086374
80,0.011834236654519215
81,-0.04390370862630699
82,0.11158785507428148
83,-0.019923751783923582
84,0.00958954312696414
85,-0.02183186212532784
86,0.027892713957560433
87,0.0009639568254424802
88,-0.017358833150663777
89,0.039373686063305824
90,-0.02399753160189122
91,0.009105593857418715
92,0.002106282691536565
93,0.03026180770368403
94,0.010107766987062838
95,0.007045987892006611
96,0.010483627595407663
97,0.01869729905188877
98,-0.025416810160156622
99,0.02271746278774489
100,0.0007552285391652092
101,-0.00532704570835929
102,0.03443195614588723
103,-0.009987930164805148
104,0.019392922751884534
105,-0.01291062608362914
106,0.010091174724184304
107,0.032500745519977725
108,-0.030044997286678532
109,-0.04574651060635082
110,0.011530643100964522
111,0.012397144202814125
112,-0.026790823628320082
113,0.03148990725890011
114,0.03759869964992624
115,-0.026877534841474704
116,0.020833815622011143
117,-0.03950461187888721
118,0.012299117331743048
119,0.024277711761677034
120,0.03607414807259257
121,0.027329195113380722
122,0.027960357804911462
123,0.03631171269946476
124,0.021278543431649366
125,0.03177603957520647
126,-0.0003202374774278205
127,0.04009747288732535
128,-0.004979335189770229
129,0.04104900278106194
130,0.01744387340596476
131,0.03261738686923121
132,0.006933701784703983
133,0.007916567590839696
134,0.01343142201418468
135,0.022853405991703157
136,0.0022567099722681228
137,-0.045748016719207696
138,0.01881393514756069
139,0.05420332732833044
140,0.026101002422918018
141,0.07337615178140577
142,-0.021505414489508046
143,0.061317039054128886
144,0.0059275902346540565
145,-0.04261401064074877
146,0.05840557906734034
147,0.05857688480332501
148,0.043452614795275846
149,0.07814580943742477
150,-0.057465631708528364
151,0.053153590615567126
152,-0.03447769737522033
153,0.04458685521263939
154,0.01573159710869443
155,0.010150177442407982
156,0.07044919253631243
157,0.049945714341220526
158,0.009076469253460395
159,-0.018826223261468433
160,0.03943824063504042
161,-0.011615326917385427
162,-0.14579671825011387
163,0.06239551504341101
164,0.08029422856762891
165,0.05912599628568138
166,0.056375287084956094
167,0.04100944085374847
168,-0.032282562377591306
169,0.0387942154089167
170,0.03794402759627746
171,-0.024970480796175143
172,0.054438331114324834
173,-0.032046092391091685
174,-0.006254091687235008
175,-0.028551792448024638
176,0.0625395414523846
177,0.019061858969220413
178,0.05784389473992291
179,-0.05090354879190062
180,-0.020108083256356934
181,0.09671982835364812
182,-0.030795755780191336
183,-0.021915050603417807
184,0.023933549615877237
185,-0.016341275904170893
186,0.06069910494167097
187,-0.053482974719764265
188,-0.00494948542177065
189,-0.08006861010730892
190,0.004053445623728669
191,0.03463657667616449
192,-0.09229073539585964
193,-0.06420471080339152
194,0.07681436165439459
195,0.005090187401275648
196,-0.02503538942756467
197,-0.010740149595403703
198,-0.06410840688075747
199,-0.08172340570563885
200,0.018099111333141016
201,0.0751759041240454
202,0.0075738340889277556
203,-0.015573832456979853
204,-0.020766211039727644
205,0.03673889286207466
206,-0.061417625919219065
207,-0.009081481352177012
208,-0.0724553538081798
209,-0.07900427514940767
210,0.004881433306494376
211,-0.11002431825242787
212,0.08644880033371405
213,0.05706962070498589
214,-0.06033257188502883
215,-0.02741469268304464
216,-0.01700360825687175
217,0.008357567684332823
218,0.0810441071800323
219,0.050898709609522585
220,0.011322214676852127
221,0.016223701958536507
222,0.017873203593487874
223,-0.011944364585525724
224,0.05496148663571665
225,0.0071285040713728876
226,0.05076554077889206
227,0.017276386950755285
228,0.01220897373761054
229,-0.01635891961786684
230,-0.016790751960348183
231,0.01208345009735412
232,0.017988998771432563
233,-0.034290519520026264
234,0.0022873503233691306
235,0.009363875526838816
236,0.014014243690939843
237,0.03859493629597055
238,0.03245821284320516
239,-0.025290467442294018
240,0.018903346132113308
241,-0.01911765556028966
242,-0.020108582083263493
243,0.02995204663120865
244,-0.00014271417986777557
245,0.03596828690361842
246,-0.011222104598600069
247,0.00694902431673361
248,-0.01774077993231349
249,0.035186096519093324
250,-0.0009523493171964548
251,0.025466771341108085
252,0.0004531577283561905
253,0.011095810408889628
254,0.01215565291784415
255,-0.030916916538203165
256,8.659650459597046e-05
257,0.0050858788034533475
258,0.02127419311502643
259,0.024566297967782313
260,0.03150800358539563
261,0.016466656343095964
262,0.012615782814670462
263,0.014059043023177953
264,-0.021846175991944383
265,0.009979982939206433
266,0.043290690426759815
267,0.032549228707361655
268,-0.01781632254788501
269,-0.03198187836198829
270,0.012863572018857905
271,0.03579400817860079
272,0.014822338223554832
273,-0.04404341737941575
274,-0.008628508561297932
275,-0.06116343227776988
276,-0.03476119273728817
277,-0.005959623397817415
278,0.047546697641229096
279,0.01067418170406853
280,-0.08596238482631446
281,-0.009859371185302779
282,0.012190464669121548
283,-0.09079143354379215
284,-0.16942452401777075
285,-0.0748490423387097
286,0.007821576633499472
287,-0.08565734305805428
288,-0.10993119762019943
289,0.08540446199532292
290,0.09392507914826331
291,0.05308144638516654
292,0.00019582726560996022
293,0.07414172714778422
294,0.03356018886854417
295,0.03572334572311964
296,-0.019762000526814205
297,0.05736406145372763
298,0.017770570919338313
299,-0.03697424569226215
300,0.028513689046546054
301,0.058796425545497355
302,0.014759230482012997
303,-0.08197584207319053
304,-0.05388244223983851
305,0.06877784957463517
306,-0.04744918363260475
307,0.08755110305113556
308,0.03685599403554063
309,-0.002290249746576656
310,0.06530004034715509
311,0.022645574359139164
312,0.03195656372809341
313,-0.0010473129391664893
314,0.028495380666536008
315,-0.01350095289522324
316,-0.018257461652479323
317,-0.02147442530666621
318,-0.05679110795232889
319,-0.07176198808089651
320,0.10772303843744147
321,-0.005058715107011391
322,0.008532763666636134
323,0.043583062704985354
324,0.04058946376811723
325,0.03133231453144192
326,-0.007497452372495994
327,-0.06265072571454366
328,0.03955498222833631
329,0.012597574204787909
330,0.019763369506085704
331,0.024236153617775313
332,-0.01978940971629395
333,0.0028467166850427716
334,0.007068230956284616
335,0.050428096466868855
336,0.011060648765041536
337,0.03598772398287298
338,0.018085767779890016
339,0.020762811683057825
340,-0.014999301595580827
341,0.04946207991308538
342,-0.031298019479343964
343,0.029749523259195332
344,0.04459575276194472
345,0.028049471367328715
346,0.023562791975445974
347,-0.035582905955811595
348,0.0431170301781616
349,0.006932165418227054
350,0.006200789153414155
351,0.02103028007328045
352,0.019058331749470137
353,-0.015079830845342368
354,0.037655295579825276
355,-0.015513837249453988
356,0.023201460667203078
357,0.02453358864631494
358,-0.004188587515997044
359,-0.031040805838410623
360,0.0548925108906233
361,-0.017396107114219572
362,0.008520819822535275
363,0.010491382304589791
364,-0.021011671979729973
365,0.019742029435184882
366,-0.06258081825586559
367,-0.026442831280001466
368,0.08298311781266654
369,0.0005048691103348713
370,-0.017530185032692547
371,-0.0507353220469523
372,-0.0041283603090035426
373,0.06599111444005845
374,0.0026993982833325436
375,0.015324602525288444
376,0.0009109212401243738
377,0.035609800753315435
378,-0.0012192428990193127
379,-0.0012344511393173052
380,-0.01942567890903446
381,0.034174521829295035
382,0.01820076244186586
383,0.01788435819838252
384,0.03719816006681631
385,-0.0003891971352694146
386,0.009091208748854607
387,0.011576251246328662
388,0.004813775207812565
389,0.019348826001101882
390,0.000546433019853243
391,0.019302978562167672
392,0.02218813506615125
393,0.028082627806563343
394,0.009831630594270502
395,0.05617870412552817
396,-0.0389473718793677
397,-0.02688449860055664
398,0.0027187749953683227
399,0.0216083418545836
400,0.00484243626760783
401,0.03602155617289915
402,0.030263211276748248
403,0.0042942874264617625
404,-0.0694033560936963
405,0.01785935665477978
406,-0.09177689467997252
407,0.07868440166582613
408,0.029728889343927145
409,0.01792425624958849
410,0.03931349831373798
411,-0.0657777313668354
412,0.0689301639982407
413,0.013128152166957952
414,-0.018091627240523933
415,0.017181177931020697
416,0.020431770513684056
417,0.034047037714499906
418,0.02858981890573009
419,-0.0016280928190489652
420,-0.08411048363840312
421,-0.12511928240892822
422,0.1268440381652789
423,0.04528181966555822
424,0.01838839651392421
425,0.055101321480443666
426,0.07006466690171775
427,-0.039227970178423055
428,-0.027665786221379718
429,0.10754563544385909
430,0.03712145909357001
431,-0.011136660755445171
432,0.026091451377448394
433,0.042438632533165155
434,0.05242532134755851
435,0.00548648867060697
436,0.022214009565834747
437,0.02274805482838871
438,0.028990416255438634
439,-0.047569168801901096
440,0.0691438364006065
441,-0.008333706184746159
442,0.04361291346206486
443,-0.052585165027393854
444,-0.031360491945908286
445,0.03577328837154625
446,-0.08795671180434306
447,5.317770464463578e-05
448,-0.08391999993382682
449,0.09111639173021002
450,-0.04244012827299837
451,-0.09339567201327437
452,0.0798634138370089
453,0.053752893352493114
454,-0.05897147407473047
455,0.0617528578346791
